name,segment,gene_id,mean,std,size,count,percentage
ERR4204010,NC_045512.2,SARS-CoV2,125.8994080861452,129.18849002951987,29903,7238.0,0.2420492927131057
ERR4413532,NC_045512.2,SARS-CoV2,189.4260776510718,191.1011195552747,29903,10879.0,0.36380965120556463
ERR4413533,NC_045512.2,SARS-CoV2,448.8839581312912,365.8299784280561,29903,22318.0,0.7463465204160118
ERR4413534,NC_045512.2,SARS-CoV2,170.89295388422568,162.40490643260128,29903,9836.0,0.3289302076714711
ERR4413536,NC_045512.2,SARS-CoV2,79.59154599872923,87.87902594219709,29903,3207.0,0.10724676453867504
ERR4413537,NC_045512.2,SARS-CoV2,679.0779186034846,463.56157156129115,29903,27765.0,0.9285021569742167
ERR4413538,NC_045512.2,SARS-CoV2,843.2809082700733,536.122031131359,29903,28809.0,0.9634150419690332
ERR4413542,NC_045512.2,SARS-CoV2,666.3110724676454,395.98614601742514,29903,28473.0,0.9521787111661038
ERR4413543,NC_045512.2,SARS-CoV2,944.0330067217336,588.2738626949275,29903,29165.0,0.9753202019864228
ERR4413545,NC_045512.2,SARS-CoV2,153.64776109420458,150.7486424351051,29903,9036.0,0.3021770390930676
ERR4413546,NC_045512.2,SARS-CoV2,612.884459753202,490.1102066967468,29903,25797.0,0.862689362271344
ERR4413547,NC_045512.2,SARS-CoV2,506.1065779353242,358.8453441002317,29903,25242.0,0.8441293515700766
ERR4413548,NC_045512.2,SARS-CoV2,465.65036952814097,366.59709180196415,29903,23499.0,0.78584088552988
ERR4413549,NC_045512.2,SARS-CoV2,194.62746212754573,192.0866637740443,29903,11757.0,0.3931712537203625
ERR4413550,NC_045512.2,SARS-CoV2,287.48807811925224,248.14513726152381,29903,16640.0,0.5564659064307929
ERR4413551,NC_045512.2,SARS-CoV2,605.3125104504564,395.3170850159392,29903,27429.0,0.9172658261712872
ERR4413552,NC_045512.2,SARS-CoV2,605.1636625087784,380.138636929467,29903,27699.0,0.9262950205664984
ERR4413553,NC_045512.2,SARS-CoV2,357.32481690800256,299.5621598176031,29903,19220.0,0.6427448750961442
ERR4413554,NC_045512.2,SARS-CoV2,336.57322007825303,288.0764238868219,29903,18696.0,0.6252215496772899
ERR4413555,NC_045512.2,SARS-CoV2,264.6812025549276,275.56344852513473,29903,13831.0,0.4625288432598736
ERR4413556,NC_045512.2,SARS-CoV2,101.68578403504665,106.49836241999385,29903,4597.0,0.15373039494365115
ERR4413557,NC_045512.2,SARS-CoV2,297.164431662375,269.33436570822516,29903,16630.0,0.5561314918235628
ERR4413559,NC_045512.2,SARS-CoV2,551.470487910912,412.12999310755583,29903,25278.0,0.8453332441561048
ERR4413560,NC_045512.2,SARS-CoV2,326.78072434203926,280.4036227769301,29903,18085.0,0.6047888171755342
ERR4413561,NC_045512.2,SARS-CoV2,162.53526402033242,158.24983682222268,29903,9119.0,0.30495268033307693
ERR4413562,NC_045512.2,SARS-CoV2,409.6970203658496,336.4336739719903,29903,21008.0,0.702538206868876
ERR4413563,NC_045512.2,SARS-CoV2,298.01912851553357,269.5315692832562,29903,16595.0,0.5549610406982577
ERR4413564,NC_045512.2,SARS-CoV2,797.7424004280507,518.6053225013576,29903,28710.0,0.9601043373574558
ERR4413565,NC_045512.2,SARS-CoV2,105.16800989867238,106.77170869045531,29903,4959.0,0.16583620372537872
ERR4413566,NC_045512.2,SARS-CoV2,640.0767481523593,409.4930053927071,29903,27882.0,0.9324148078788081
ERR4413567,NC_045512.2,SARS-CoV2,792.5725512490386,538.7808838712011,29903,28481.0,0.9524462428518877
ERR4413568,NC_045512.2,SARS-CoV2,434.943617697221,410.2870267052542,29903,19883.0,0.6649165635554961
ERR4413569,NC_045512.2,SARS-CoV2,190.96124134702202,181.0744489404398,29903,10917.0,0.3650804267130388
ERR4413570,NC_045512.2,SARS-CoV2,565.4787479517105,445.65082575100524,29903,24534.0,0.8204527973781894
ERR4413571,NC_045512.2,SARS-CoV2,123.61177808246664,121.57574745041802,29903,6355.0,0.21252048289469283
ERR4413572,NC_045512.2,SARS-CoV2,669.9513092331873,452.17228054111615,29903,27444.0,0.9177674480821322
ERR4413573,NC_045512.2,SARS-CoV2,630.8232953215396,450.2204397789729,29903,26871.0,0.8986054910878507
ERR4413574,NC_045512.2,SARS-CoV2,520.3924021001237,433.2894419099822,29903,23712.0,0.7929639166638799
ERR4413575,NC_045512.2,SARS-CoV2,585.3879878273083,453.60776791048374,29903,24922.0,0.8334280841387152
ERR4413576,NC_045512.2,SARS-CoV2,837.5745242952212,556.1562669313588,29903,28570.0,0.9554225328562351
ERR4413577,NC_045512.2,SARS-CoV2,589.8564023676554,400.0089230240012,29903,26591.0,0.8892418820854094
ERR4413578,NC_045512.2,SARS-CoV2,455.44751362739527,363.2291683123535,29903,23481.0,0.7852389392368658
ERR4413579,NC_045512.2,SARS-CoV2,42.0716650503294,45.10940090887653,29903,353.0,0.011804835635220546
ERR4413580,NC_045512.2,SARS-CoV2,279.68217235728855,252.0599459499409,29903,16204.0,0.541885429555563
ERR4413582,NC_045512.2,SARS-CoV2,138.83259204762064,139.86533099325106,29903,7798.0,0.2607765107179882
ERR4413583,NC_045512.2,SARS-CoV2,912.9272313814668,570.2311769795658,29903,29036.0,0.9710062535531552
ERR4413584,NC_045512.2,SARS-CoV2,648.7837006320436,422.99488724609415,29903,27449.0,0.9179346553857473
ERR4413585,NC_045512.2,SARS-CoV2,267.1619904357422,242.1323887531566,29903,14749.0,0.4932281042035916
ERR4413586,NC_045512.2,SARS-CoV2,287.8362037253787,269.9516666710929,29903,15277.0,0.510885195465338
ERR4413587,NC_045512.2,SARS-CoV2,584.7295923485938,428.93699818770386,29903,27013.0,0.9033541785105174
ERR4413588,NC_045512.2,SARS-CoV2,524.1081496839782,432.72258627739893,29903,23817.0,0.7964752700397953
ERR4413589,NC_045512.2,SARS-CoV2,333.24619603384275,291.439475957023,29903,18130.0,0.6062936829080694
ERR4413591,NC_045512.2,SARS-CoV2,394.64565428217907,291.7803955991496,29903,21880.0,0.7316991606193358
ERR4413592,NC_045512.2,SARS-CoV2,463.1302210480554,389.6649211178222,29903,22954.0,0.7676152894358426
ERR4413593,NC_045512.2,SARS-CoV2,78.81075477376852,76.43419748224623,29903,2488.0,0.0832023542788349
ERR4413594,NC_045512.2,SARS-CoV2,890.1687456108083,525.264261168528,29903,29090.0,0.9728120924321975
ERR4413595,NC_045512.2,SARS-CoV2,157.22746881583788,149.87248149751798,29903,8765.0,0.2931144032371334
ERR4413596,NC_045512.2,SARS-CoV2,58.72310470521352,58.181396984648615,29903,681.0,0.022773634752365983
ERR4413598,NC_045512.2,SARS-CoV2,449.3138481088854,346.5994758993673,29903,23304.0,0.7793198006888941
ERR4413601,NC_045512.2,SARS-CoV2,212.25348627228038,190.4478242812502,29903,12726.0,0.4255760291609538
ERR4413602,NC_045512.2,SARS-CoV2,453.98899775942215,365.70024020672184,29903,22911.0,0.7661773066247534
ERR4413603,NC_045512.2,SARS-CoV2,391.5333578570712,319.3605759360848,29903,21196.0,0.7088252014848009
ERR4413604,NC_045512.2,SARS-CoV2,586.4332675651273,416.94949658563115,29903,26569.0,0.8885061699495034
ERR4413605,NC_045512.2,SARS-CoV2,136.14781125639567,145.2396220457554,29903,7014.0,0.23455840551115273
